x,y,label,filename,slide,split
21878,13765,0,add0a9bbc53d1d9bac4c.svs,2,test
22500,43591,0,add0a9bbc53d1d9bac4c.svs,2,test
25371,67994,0,add0a9bbc53d1d9bac4c.svs,2,test
35616,33526,0,96274538c93980aad8d6.svs,3,test
38342,39492,0,96274538c93980aad8d6.svs,3,test
40271,28605,0,96274538c93980aad8d6.svs,3,test
43743,46368,0,96274538c93980aad8d6.svs,3,test
52888,47691,0,96274538c93980aad8d6.svs,3,test
57816,20442,0,96274538c93980aad8d6.svs,3,test
55782,43917,0,c91a842257ed2add5134.svs,1,test
7396,32443,0,c3eb4b8382b470dd63a9.svs,4,test
43718,11965,0,fff27b79894fe0157b08.svs,7,test
49857,27434,0,fff27b79894fe0157b08.svs,7,test
83669,11626,0,fff27b79894fe0157b08.svs,7,test
88945,15377,0,fff27b79894fe0157b08.svs,7,test
88621,21582,0,fff27b79894fe0157b08.svs,7,test
88386,42862,0,fff27b79894fe0157b08.svs,7,test
23599,29789,1,2f17d43b3f9e7dacf24c.svs,8,test
25763,27149,0,2f17d43b3f9e7dacf24c.svs,8,test
25145,28244,0,2f17d43b3f9e7dacf24c.svs,8,test
30430,34632,0,2f17d43b3f9e7dacf24c.svs,8,test
51760,50841,0,2f17d43b3f9e7dacf24c.svs,8,test
55791,58909,0,2f17d43b3f9e7dacf24c.svs,8,test
45497,68844,0,8c9f9618fcaca747b7c3.svs,9,test
45910,76772,0,8c9f9618fcaca747b7c3.svs,9,test
45455,76319,0,8c9f9618fcaca747b7c3.svs,9,test
47649,72262,0,8c9f9618fcaca747b7c3.svs,9,test
47589,78671,0,8c9f9618fcaca747b7c3.svs,9,test
49421,74969,0,8c9f9618fcaca747b7c3.svs,9,test
49028,76083,0,8c9f9618fcaca747b7c3.svs,9,test
48383,80208,0,8c9f9618fcaca747b7c3.svs,9,test
48512,80823,0,8c9f9618fcaca747b7c3.svs,9,test
48660,81463,0,8c9f9618fcaca747b7c3.svs,9,test
50149,72017,0,8c9f9618fcaca747b7c3.svs,9,test
49963,76141,0,8c9f9618fcaca747b7c3.svs,9,test
50454,75793,0,8c9f9618fcaca747b7c3.svs,9,test
51099,69842,0,8c9f9618fcaca747b7c3.svs,9,test
51264,69973,0,8c9f9618fcaca747b7c3.svs,9,test
51792,71046,0,8c9f9618fcaca747b7c3.svs,9,test
51167,73744,0,8c9f9618fcaca747b7c3.svs,9,test
52233,76497,0,8c9f9618fcaca747b7c3.svs,9,test
53360,77071,0,8c9f9618fcaca747b7c3.svs,9,test
52941,77973,0,8c9f9618fcaca747b7c3.svs,9,test
53752,68671,0,8c9f9618fcaca747b7c3.svs,9,test
53907,68372,0,8c9f9618fcaca747b7c3.svs,9,test
54822,72683,0,8c9f9618fcaca747b7c3.svs,9,test
55866,73995,0,8c9f9618fcaca747b7c3.svs,9,test
55165,77208,0,8c9f9618fcaca747b7c3.svs,9,test
55259,77329,0,8c9f9618fcaca747b7c3.svs,9,test
55727,77592,0,8c9f9618fcaca747b7c3.svs,9,test
55341,80393,0,8c9f9618fcaca747b7c3.svs,9,test
56451,27245,0,8c9f9618fcaca747b7c3.svs,9,test
57421,79817,0,8c9f9618fcaca747b7c3.svs,9,test
58686,34343,0,8c9f9618fcaca747b7c3.svs,9,test
59103,67992,0,8c9f9618fcaca747b7c3.svs,9,test
57874,72324,0,8c9f9618fcaca747b7c3.svs,9,test
58490,72492,0,8c9f9618fcaca747b7c3.svs,9,test
58777,73800,0,8c9f9618fcaca747b7c3.svs,9,test
58444,81172,0,8c9f9618fcaca747b7c3.svs,9,test
59278,70680,0,8c9f9618fcaca747b7c3.svs,9,test
59415,72179,0,8c9f9618fcaca747b7c3.svs,9,test
60395,76214,0,8c9f9618fcaca747b7c3.svs,9,test
59413,76232,0,8c9f9618fcaca747b7c3.svs,9,test
61275,70181,0,8c9f9618fcaca747b7c3.svs,9,test
61575,73277,0,8c9f9618fcaca747b7c3.svs,9,test
61616,73205,0,8c9f9618fcaca747b7c3.svs,9,test
61015,75316,0,8c9f9618fcaca747b7c3.svs,9,test
68703,38430,0,8c9f9618fcaca747b7c3.svs,9,test
67501,45470,0,8c9f9618fcaca747b7c3.svs,9,test
68544,46109,0,8c9f9618fcaca747b7c3.svs,9,test
68317,48566,0,8c9f9618fcaca747b7c3.svs,9,test
73929,80477,0,8c9f9618fcaca747b7c3.svs,9,test
76456,41489,0,8c9f9618fcaca747b7c3.svs,9,test
77560,43444,0,8c9f9618fcaca747b7c3.svs,9,test
79204,36961,0,8c9f9618fcaca747b7c3.svs,9,test
79059,48927,0,8c9f9618fcaca747b7c3.svs,9,test
79990,39706,0,8c9f9618fcaca747b7c3.svs,9,test
80888,80875,0,8c9f9618fcaca747b7c3.svs,9,test
80223,80784,0,8c9f9618fcaca747b7c3.svs,9,test
84013,50764,0,8c9f9618fcaca747b7c3.svs,9,test
84134,51738,0,8c9f9618fcaca747b7c3.svs,9,test
85031,61173,0,8c9f9618fcaca747b7c3.svs,9,test
84837,79052,0,8c9f9618fcaca747b7c3.svs,9,test
84833,80817,0,8c9f9618fcaca747b7c3.svs,9,test
21397,12548,1,add0a9bbc53d1d9bac4c.svs,2,test
21878,13468,1,add0a9bbc53d1d9bac4c.svs,2,test
21204,13686,1,add0a9bbc53d1d9bac4c.svs,2,test
21291,14085,0,add0a9bbc53d1d9bac4c.svs,2,test
21940,14379,0,add0a9bbc53d1d9bac4c.svs,2,test
21313,14503,1,add0a9bbc53d1d9bac4c.svs,2,test
21317,14774,1,add0a9bbc53d1d9bac4c.svs,2,test
21956,15114,1,add0a9bbc53d1d9bac4c.svs,2,test
21960,15164,1,add0a9bbc53d1d9bac4c.svs,2,test
21569,17992,1,add0a9bbc53d1d9bac4c.svs,2,test
21101,19001,1,add0a9bbc53d1d9bac4c.svs,2,test
20822,19933,0,add0a9bbc53d1d9bac4c.svs,2,test
21281,19704,1,add0a9bbc53d1d9bac4c.svs,2,test
21207,20684,1,add0a9bbc53d1d9bac4c.svs,2,test
21231,20639,1,add0a9bbc53d1d9bac4c.svs,2,test
21052,21069,1,add0a9bbc53d1d9bac4c.svs,2,test
21031,21779,1,add0a9bbc53d1d9bac4c.svs,2,test
21046,22244,1,add0a9bbc53d1d9bac4c.svs,2,test
21068,22194,1,add0a9bbc53d1d9bac4c.svs,2,test
20688,22815,1,add0a9bbc53d1d9bac4c.svs,2,test
20704,22585,1,add0a9bbc53d1d9bac4c.svs,2,test
21025,23331,1,add0a9bbc53d1d9bac4c.svs,2,test
20859,24146,1,add0a9bbc53d1d9bac4c.svs,2,test
21266,23656,1,add0a9bbc53d1d9bac4c.svs,2,test
21659,24918,1,add0a9bbc53d1d9bac4c.svs,2,test
20761,25173,1,add0a9bbc53d1d9bac4c.svs,2,test
20690,25379,1,add0a9bbc53d1d9bac4c.svs,2,test
21843,28899,1,add0a9bbc53d1d9bac4c.svs,2,test
21781,30192,1,add0a9bbc53d1d9bac4c.svs,2,test
21452,33547,1,add0a9bbc53d1d9bac4c.svs,2,test
21636,35378,1,add0a9bbc53d1d9bac4c.svs,2,test
21240,35212,1,add0a9bbc53d1d9bac4c.svs,2,test
20790,37203,1,add0a9bbc53d1d9bac4c.svs,2,test
21313,37672,1,add0a9bbc53d1d9bac4c.svs,2,test
20921,38387,1,add0a9bbc53d1d9bac4c.svs,2,test
21971,38595,1,add0a9bbc53d1d9bac4c.svs,2,test
20807,40934,1,add0a9bbc53d1d9bac4c.svs,2,test
21734,43514,1,add0a9bbc53d1d9bac4c.svs,2,test
21025,46856,1,add0a9bbc53d1d9bac4c.svs,2,test
21580,47189,1,add0a9bbc53d1d9bac4c.svs,2,test
20792,47873,1,add0a9bbc53d1d9bac4c.svs,2,test
20807,47912,1,add0a9bbc53d1d9bac4c.svs,2,test
21076,47966,1,add0a9bbc53d1d9bac4c.svs,2,test
21586,49033,1,add0a9bbc53d1d9bac4c.svs,2,test
21248,52761,1,add0a9bbc53d1d9bac4c.svs,2,test
21251,53261,1,add0a9bbc53d1d9bac4c.svs,2,test
20780,53734,0,add0a9bbc53d1d9bac4c.svs,2,test
20925,53692,1,add0a9bbc53d1d9bac4c.svs,2,test
21348,53703,1,add0a9bbc53d1d9bac4c.svs,2,test
21491,53526,1,add0a9bbc53d1d9bac4c.svs,2,test
21229,54344,1,add0a9bbc53d1d9bac4c.svs,2,test
21389,54374,1,add0a9bbc53d1d9bac4c.svs,2,test
20738,54808,1,add0a9bbc53d1d9bac4c.svs,2,test
21890,54804,1,add0a9bbc53d1d9bac4c.svs,2,test
21242,55188,1,add0a9bbc53d1d9bac4c.svs,2,test
20971,55884,1,add0a9bbc53d1d9bac4c.svs,2,test
21619,55527,1,add0a9bbc53d1d9bac4c.svs,2,test
21770,56481,1,add0a9bbc53d1d9bac4c.svs,2,test
21072,56201,1,add0a9bbc53d1d9bac4c.svs,2,test
21226,56337,1,add0a9bbc53d1d9bac4c.svs,2,test
21294,56611,1,add0a9bbc53d1d9bac4c.svs,2,test
21585,56360,1,add0a9bbc53d1d9bac4c.svs,2,test
21650,56752,1,add0a9bbc53d1d9bac4c.svs,2,test
21574,56866,1,add0a9bbc53d1d9bac4c.svs,2,test
21845,58488,1,add0a9bbc53d1d9bac4c.svs,2,test
20866,58310,1,add0a9bbc53d1d9bac4c.svs,2,test
21202,58263,1,add0a9bbc53d1d9bac4c.svs,2,test
21997,59342,1,add0a9bbc53d1d9bac4c.svs,2,test
21416,58803,1,add0a9bbc53d1d9bac4c.svs,2,test
21604,59502,1,add0a9bbc53d1d9bac4c.svs,2,test
21327,62712,1,add0a9bbc53d1d9bac4c.svs,2,test
20683,63383,1,add0a9bbc53d1d9bac4c.svs,2,test
20715,63414,1,add0a9bbc53d1d9bac4c.svs,2,test
21911,64597,1,add0a9bbc53d1d9bac4c.svs,2,test
21799,65142,1,add0a9bbc53d1d9bac4c.svs,2,test
21339,68613,1,add0a9bbc53d1d9bac4c.svs,2,test
21649,69021,1,add0a9bbc53d1d9bac4c.svs,2,test
21872,69296,1,add0a9bbc53d1d9bac4c.svs,2,test
20690,69393,1,add0a9bbc53d1d9bac4c.svs,2,test
